,Category,Child sex ratio in population (0-6 age group) - Total - 2001,Child sex ratio in population (0-6 age group) - Total - 2011,Child sex ratio in population (0-6 age group) - Rural - 2001,Child sex ratio in population (0-6 age group) - Rural - 2011,Child sex ratio in population (0-6 age group) - Urban - 2001,Child sex ratio in population (0-6 age group) - Urban - 2011,state
0,Country,927,918,934,923,906,905,INDIA
1,State,961,939,963,941,955,935,Andhra Pradesh
2,State,964,972,960,975,980,957,Arunachal Pradesh
3,State,965,962,967,964,943,944,Assam
4,State,942,935,944,938,924,912,Bihar
5,State,975,969,982,977,938,937,Chhattisgarh
6,State,938,942,952,945,924,940,Goa
7,State,883,890,906,914,837,852,Gujarat
8,State,819,834,823,835,808,832,Haryana
9,State,896,909,900,912,844,881,Himachal Pradesh
10,State,941,862,957,865,873,850,Jammu & Kashmir
11,State,965,948,973,957,930,908,Jharkhand
12,State,946,948,949,950,940,946,Karnataka
13,State,960,964,961,965,958,963,Kerala
14,State,932,918,939,923,907,901,Madhya Pradesh
15,State,913,894,916,890,908,899,Maharashtra
16,State,957,930,956,923,961,949,Manipur
17,State,973,970,973,972,969,954,Meghalaya
18,State,964,970,965,966,963,974,Mizoram
19,State,964,943,969,933,939,973,Nagaland
20,State,953,941,955,946,933,913,Odisha
21,State,798,846,799,844,796,852,Punjab
22,State,909,888,914,892,887,874,Rajasthan
23,State,963,957,966,964,922,934,Sikkim
24,State,942,943,933,936,955,952,Tamil Nadu
25,State,966,957,968,960,948,947,Tripura
26,State,916,902,921,906,890,885,Uttar Pradesh
27,State,908,890,918,899,872,868,Uttarakhand
28,State,960,956,963,959,948,947,West Bengal
29,Union Territory,957,968,966,976,936,954,A & N Islands
30,Union Territory,845,880,847,871,845,880,Chandigarh
31,Union Territory,979,926,1003,970,888,872,D & N Haveli
32,Union Territory,926,904,916,932,943,894,Daman & Diu
33,Union Territory,959,911,999,911,900,911,Lakshadweep
34,Union Territory,868,871,850,814,870,873,NCT of Delhi
35,Union Territory,967,967,967,953,967,975,Puducherry
36,State,961,939,963,941,955,935,Telangana
