,Category,Sex ratio of total population - Total - 2001,Sex ratio of total population - Total - 2011,Sex ratio of total population - Rural - 2001,Sex ratio of total population - Rural - 2011,Sex ratio of total population - Urban - 2001,Sex ratio of total population - Urban - 2011,state
0,Country,933,943,946,949,900,929,INDIA
1,State,978,993,983,996,965,987,Andhra Pradesh
2,State,893,938,914,953,819,890,Arunachal Pradesh
3,State,935,958,944,960,872,946,Assam
4,State,919,918,926,921,868,895,Bihar
5,State,989,991,1004,1001,932,956,Chhattisgarh
6,State,961,973,988,1003,934,956,Goa
7,State,920,919,945,949,880,880,Gujarat
8,State,861,879,866,882,847,873,Haryana
9,State,968,972,989,986,795,853,Himachal Pradesh
10,State,892,889,917,908,819,840,Jammu & Kashmir
11,State,941,948,962,961,870,910,Jharkhand
12,State,965,973,977,979,942,963,Karnataka
13,State,1058,1084,1059,1078,1058,1091,Kerala
14,State,919,931,927,936,898,918,Madhya Pradesh
15,State,922,929,960,952,873,903,Maharashtra
16,State,978,985,967,969,1009,1026,Manipur
17,State,972,989,969,986,982,1001,Meghalaya
18,State,935,976,923,952,948,998,Mizoram
19,State,900,931,916,940,829,908,Nagaland
20,State,972,979,987,989,895,932,Odisha
21,State,876,895,890,907,849,875,Punjab
22,State,921,928,930,933,890,914,Rajasthan
23,State,875,890,880,882,830,913,Sikkim
24,State,987,996,992,993,982,1000,Tamil Nadu
25,State,948,960,946,955,959,973,Tripura
26,State,898,912,904,918,876,894,Uttar Pradesh
27,State,962,963,1007,1000,845,884,Uttarakhand
28,State,934,950,950,953,893,944,West Bengal
29,Union Territory,846,876,861,877,815,874,A & N Islands
30,Union Territory,777,818,621,690,796,822,Chandigarh
31,Union Territory,812,774,852,863,691,682,D & N Haveli
32,Union Territory,710,618,586,864,984,551,Daman & Diu
33,Union Territory,948,946,959,952,935,945,Lakshadweep
34,Union Territory,821,868,810,852,822,868,NCT of Delhi
35,Union Territory,1001,1037,990,1028,1007,1042,Puducherry
36,State,978,993,983,996,965,987,Telangana
