,Items  Description,Duration,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal1,Andaman & Nicobar Islands,Chandigarh,Delhi,Puducherry,All_India GDP,D & N Haveli,Daman & Diu,Lakshadweep
0,GSDP - CURRENT PRICES (` in Crore),2011-12,379402.0,11063.0,143175.0,247144.0,158074.0,42367.0,615606.0,297539.0,72720.0,78254.0,150918.0,603778.0,364048.0,315561.0,1272967.0,12915.0,19918.0,7259.0,11839.0,227872.0,266628.0,436465.0,11165.0,751485.0,359433.0,19208.0,724049.0,115523.0,157478.25,3979.0,18768.0,343767.0,16818.0,8736039.0,591851.25,591851.25,591851.25
1,GSDP - CURRENT PRICES (` in Crore),2012-13,411404.0,12547.0,156864.0,282368.0,177511.0,38120.0,724495.0,347032.0,82820.0,87105.0,174724.0,691700.0,412313.0,380924.0,1448466.0,13748.0,21872.0,8362.0,13619.0,258275.0,297734.0,494004.0,12338.0,855481.0,401493.0,21663.0,822903.0,131835.0,179947.0,4421.0,21609.0,391238.0,18875.0,9946636.0,676271.25,676271.25,676271.25
2,GSDP - CURRENT PRICES (` in Crore),2013-14,464272.0,14602.0,177745.0,317101.0,206690.0,35921.0,807623.0,400662.0,94764.0,95893.0,188567.0,817886.0,465041.0,437737.0,1647506.0,16198.0,22938.0,10293.0,16612.0,291709.0,334714.0,549701.0,13862.0,971090.0,452186.0,25593.0,944146.0,149817.0,200634.0,5159.0,24787.0,443783.0,21870.0,11236635.0,760187.75,760187.75,760187.75
3,GSDP - CURRENT PRICES (` in Crore),2014-15,526468.0,16761.0,198098.0,373920.0,234982.0,40633.0,895027.0,437462.0,104369.0,100404.0,217107.0,921788.0,526002.0,481982.0,1792122.0,18043.0,24408.0,11559.0,18414.0,321971.0,368011.0,612194.0,15209.0,1092564.0,511178.0,29667.0,1043371.0,161985.0,229679.75,5721.0,27844.0,492424.0,24089.0,12433749.0,834994.0,834994.0,834994.0
4,GSDP - CURRENT PRICES (` in Crore),2015-16,609934.0,18784.0,224234.0,413503.0,260776.0,45002.0,994316.0,485184.0,420620.6666666667,118387.0,241955.0,1027068.0,588337.0,543975.0,519659.0,71600.0,26745.0,71600.0,71600.0,341887.0,420620.6666666667,519659.0,16637.0,1212668.0,575631.0,71600.0,1153795.0,184091.0,332448.3333333333,332448.3333333333,30304.0,551963.0,26533.0,13675331.0,519659.0,519659.0,519659.0
5,GSDP - CURRENT PRICES (` in Crore),2016-17,699307.0,29567.0,29567.0,378991.0,290140.0,356540.25,356540.25,547396.0,584890.5,584890.5,378991.0,680481.0,680481.0,640484.0,356540.25,29567.0,29567.0,29567.0,29567.0,378991.0,584890.5,356540.25,29567.0,1338766.0,654294.0,29567.0,584890.5,584890.5,378991.0,378991.0,584890.5,622385.0,29557.0,15251028.0,356540.25,356540.25,356540.25
6,(% Growth over previous year),2012-13,8.43,13.41,9.56,14.25,12.3,-10.02,17.69,16.63,13.89,11.31,15.77,14.56,13.26,20.71,13.79,6.45,9.81,15.2,15.03,13.34,11.67,13.18,10.51,13.84,11.7,12.78,13.65,14.12,13.6225,11.13,15.14,13.81,12.23,13.86,8.66,8.66,8.66
7,(% Growth over previous year),2013-14,12.85,16.38,13.31,12.3,16.44,-5.77,11.47,15.45,14.42,10.09,7.92,18.24,12.79,14.91,13.74,17.83,4.87,23.1,21.98,12.95,12.42,11.27,12.35,13.51,12.63,18.14,14.73,13.64,12.4625,16.68,14.71,13.43,15.87,12.97,7.6775,7.6775,7.6775
8,(% Growth over previous year),2014-15,13.4,14.79,11.45,17.92,13.69,13.12,10.82,9.18,10.14,4.7,15.14,12.7,13.11,10.11,8.78,11.39,6.41,12.3,10.85,10.37,9.95,11.37,9.72,12.51,13.05,15.92,10.51,8.12,13.58,10.89,12.33,10.96,10.14,10.65,11.022499999999999,11.022499999999999,11.022499999999999
9,(% Growth over previous year),2015-16,15.85,12.07,13.19,10.59,10.98,10.75,11.09,10.91,12.33,17.91,11.44,11.42,11.85,12.86,10.92,11.0575,9.58,11.0575,11.0575,6.19,12.33,10.92,9.39,10.99,12.61,11.0575,10.58,13.65,9.406666666666668,9.406666666666668,8.84,12.09,10.15,9.99,10.92,10.92,10.92
10,(% Growth over previous year),2016-17,14.65,10.55,10.55,10.85,11.26,10.203333333333335,10.203333333333335,12.82,12.79,12.79,10.85,12.53,12.53,17.74,10.203333333333335,10.55,10.55,10.55,10.55,10.85,12.79,10.203333333333335,10.55,10.4,13.67,10.55,12.79,12.79,10.85,10.85,12.79,12.76,11.4,11.52,10.203333333333335,10.203333333333335,10.203333333333335
