,Item Description,Duration,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal1,Andaman & Nicobar Islands,Chandigarh,Delhi,Puducherry,All_India NDP,D & N Haveli,Daman & Diu,Lakshadweep
0,NSDP - CONSTANT PRICES (` in Crore),2011-12,339996.0,10229.0,129354.0,228497.0,142273.0,38009.0,532809.0,271152.0,60536.0,67272.0,137383.0,552720.0,328021.0,282370.0,1119192.0,11501.0,18028.0,6404.0,10217.0,201111.0,239227.0,396960.0,9742.0,674478.0,325138.0,17419.0,645130.0,102156.0,142598.75,3404.0,16930.0,314619.0,15160.0,7818898.0,521742.5,521742.5,521742.5
1,NSDP - CONSTANT PRICES (` in Crore),2012-13,341335.0,10399.0,132518.0,236932.0,148719.0,32453.0,596659.0,289414.0,64519.0,67064.0,149526.0,584730.0,348616.0,306632.0,1188885.0,11507.0,18323.0,6836.0,10737.0,211307.0,251813.0,410225.0,9970.0,705426.0,333674.0,18857.0,670231.0,109961.0,150330.5,3557.0,18285.0,334103.0,15507.0,8205908.0,557055.5,557055.5,557055.5
2,NSDP - CONSTANT PRICES (` in Crore),2013-14,360239.0,11235.0,138725.0,246915.0,163187.0,27971.0,641489.0,314224.0,69398.0,70950.0,150609.0,644097.0,364707.0,321660.0,1261944.0,12521.0,18397.0,7831.0,11957.0,226410.0,268423.0,435163.0,10590.0,740623.0,349518.0,20623.0,708210.0,118129.0,156939.5,3824.0,19622.0,355337.0,17239.0,8718820.0,591641.75,591641.75,591641.75
3,NSDP - CONSTANT PRICES (` in Crore),2014-15,391373.0,12323.0,149313.0,279711.0,175414.0,30675.0,695974.0,331413.0,74572.0,69943.0,169758.0,691676.0,393702.0,337522.0,1329308.0,13383.0,18728.0,8348.0,12124.0,239051.0,280902.0,461845.0,11232.0,790760.0,380514.0,22584.0,753114.0,123341.0,173183.5,4214.0,21456.0,382103.0,18349.0,9337045.0,629450.5,629450.5,629450.5
4,NSDP - CONSTANT PRICES (` in Crore),2015-16,434433.0,12693.0,160724.0,299814.0,184693.0,33584.0,761049.0,361231.0,303318.6666666667,78775.0,192404.0,741744.0,426132.0,363224.0,397316.5,51326.75,19942.0,51326.75,51326.75,253296.0,303318.6666666667,397316.5,11948.0,863423.0,416524.0,51326.75,807104.0,134109.0,248504.66666666666,248504.66666666666,23729.0,414964.0,19927.0,10080883.0,397316.5,397316.5,397316.5
5,NSDP - CONSTANT PRICES (` in Crore),2016-17,484930.0,21275.0,21275.0,273914.0,198922.0,249080.25,249080.25,392729.0,420629.0,420629.0,273914.0,474956.0,474956.0,408493.0,249080.25,21275.0,21275.0,21275.0,21275.0,273914.0,420629.0,249080.25,21275.0,933662.0,459504.0,21275.0,420629.0,420629.0,273914.0,273914.0,420629.0,448529.0,21728.0,10803651.0,249080.25,249080.25,249080.25
6,(% Growth over previous year),2012-13,0.39,1.65,2.45,3.69,4.53,-14.62,11.98,6.73,6.58,-0.31,8.84,5.79,6.28,8.59,6.23,0.05,1.64,6.75,5.09,5.07,5.26,3.34,2.34,4.59,2.63,8.26,3.89,7.64,5.525,4.5,8.01,6.19,2.29,4.95,1.7325000000000004,1.7325000000000004,1.7325000000000004
7,(% Growth over previous year),2013-14,5.54,8.05,4.68,4.21,9.73,-13.81,7.51,8.57,7.56,5.8,0.72,10.15,4.62,4.9,6.15,8.81,0.4,14.56,11.36,7.15,6.6,6.08,6.21,4.99,4.75,9.36,5.67,7.43,4.9,7.52,7.31,6.36,11.16,6.25,1.4825,1.4825,1.4825
8,(% Growth over previous year),2014-15,8.64,9.68,7.63,13.28,7.49,9.67,8.49,5.47,7.46,-1.42,12.71,7.39,7.95,4.93,5.34,6.89,1.8,6.6,1.4,5.58,4.65,6.13,6.06,6.77,8.87,9.51,6.34,4.41,10.442499999999999,10.2,9.35,7.53,6.44,7.09,7.4075,7.4075,7.4075
9,(% Growth over previous year),2015-16,11.0,3.0,5.286666666666666,7.19,7.61,6.599527777777777,6.599527777777777,8.7725,8.7725,8.7725,13.34,7.24,9.098,7.61,6.599527777777777,5.286666666666666,6.48,5.286666666666666,5.286666666666666,5.96,8.7725,6.599527777777777,6.38,9.19,9.46,5.286666666666666,7.17,8.73,8.83,8.83,10.59,8.6,8.6,7.97,6.599527777777777,6.599527777777777,6.599527777777777
10,(% Growth over previous year),2016-17,11.62,6.68,6.68,8.14,12.46,7.524583333333335,7.524583333333335,8.09,8.09,8.09,8.14,9.7775,9.7775,12.46,7.524583333333335,6.68,6.68,6.68,6.68,8.14,8.09,7.524583333333335,6.68,8.13,10.32,6.68,8.09,8.09,8.14,8.14,8.09,8.09,9.04,7.17,7.524583333333335,7.524583333333335,7.524583333333335
11,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
