,state_b_toilet,Primary_Only2013-14_b_toilet,Primary_with_U_Primary2013-14_b_toilet,Primary_with_U_Primary_Sec_HrSec2013-14_b_toilet,U_Primary_Only2013-14_b_toilet,U_Primary_With_Sec_HrSec2013-14_b_toilet,Primary_with_U_Primary_Sec2013-14_b_toilet,U_Primary_With_Sec2013-14_b_toilet,Sec_Only2013-14_b_toilet,Sec_with_HrSec.2013-14_b_toilet,HrSec_Only2013-14_b_toilet,All Schools2013-14_b_toilet,Primary_Only2014-15_b_toilet,Primary_with_U_Primary2014-15_b_toilet,Primary_with_U_Primary_Sec_HrSec2014-15_b_toilet,U_Primary_Only2014-15_b_toilet,U_Primary_With_Sec_HrSec2014-15_b_toilet,Primary_with_U_Primary_Sec2014-15_b_toilet,U_Primary_With_Sec2014-15_b_toilet,Sec_Only2014-15_b_toilet,Sec_with_HrSec.2014-15_b_toilet,HrSec_Only2014-15_b_toilet,All Schools2014-15_b_toilet,Primary_Only2015-16_b_toilet,Primary_with_U_Primary2015-16_b_toilet,Primary_with_U_Primary_Sec_HrSec2015-16_b_toilet,U_Primary_Only2015-16_b_toilet,U_Primary_With_Sec_HrSec2015-16_b_toilet,Primary_with_U_Primary_Sec2015-16_b_toilet,U_Primary_With_Sec2015-16_b_toilet,Sec_Only2015-16_b_toilet,Sec_with_HrSec.2015-16_b_toilet,HrSec_Only2015-16_b_toilet,All Schools2015-16_b_toilet
0,India,84.01,91.44,97.91,88.14,96.05,94.51,80.89,97.97,94.68,74.36,86.56,85.66,93.93,98.59,88.12,98.63,96.35,87.28,89.1,93.09,88.97,88.62,96.45,98.4,99.38,96.0,99.51,98.84,98.04,94.56,97.97,95.67,97.02
1,A & N Islands,91.58,97.37,100.0,82.815,100.0,100.0,80.015,91.46833333333332,100.0,90.55428571428571,94.52,100.0,100.0,100.0,100.0,100.0,100.0,84.1925,76.48333333333333,100.0,91.30333333333333,100.0,100.0,100.0,100.0,94.6025,100.0,100.0,92.5975,92.34,100.0,92.6975,100.0
2,Andhra Pradesh,53.03,62.58,82.05,45.45,64.11,76.24,60.63,59.26,85.71,73.44,56.88,57.91,76.51,96.0,75.0,93.33,91.43,77.99,80.65,60.0,86.54,65.34,99.58,99.88,98.96,100.0,100.0,99.53,99.91,100.0,100.0,100.0,99.69
3,Arunachal Pradesh,38.24,61.17,89.06,72.74,70.0,82.32,95.45,91.46833333333332,96.411,90.55428571428571,48.73,94.13,98.59,100.0,100.0,100.0,99.52,96.43,80.44,100.0,88.404,95.97,93.55,98.83,98.51,100.0,96.23,99.55,92.86,87.13199999999998,100.0,100.0,95.65
4,Assam,60.81,69.66,87.5,51.47,72.69,82.42,67.94,91.46833333333332,96.411,90.55428571428571,60.17,55.26,69.61,91.34,44.66,75.97,85.63,67.36,48.36,55.96,68.69,54.8,85.83,84.14,90.95,71.07,89.74,88.28,82.8,72.82,73.55,80.21,82.8
5,Bihar,63.04,86.57,85.68,85.61,87.88,86.09,71.0,91.46833333333332,100.0,90.55428571428571,73.42,61.95,87.87,89.91,85.77,94.37,90.0,73.76,76.91,77.63,86.59,73.92,83.78,95.14,94.4,95.44,98.65,97.0,87.56,90.99,94.29,87.46,89.16
6,Chandigarh,100.0,100.0,100.0,92.61142857142856,100.0,100.0,97.35714285714285,95.45,94.52,90.55428571428571,100.0,100.0,100.0,100.0,93.47285714285715,100.0,100.0,97.53428571428572,94.04799999999999,91.49428571428572,99.23857142857143,100.0,100.0,100.0,100.0,98.9,100.0,100.0,99.42285714285715,98.39399999999999,96.95,98.62714285714287,100.0
7,Chhattisgarh,80.95,89.68,97.8,84.17,95.93,97.07,88.79,96.67,94.76,100.0,82.85,72.4,93.95,99.31,77.3,95.26,99.43,89.22,63.14,84.24,52.63,76.06,98.49,97.29,100.0,99.31,100.0,99.81,100.0,84.31,97.67,100.0,98.5
8,D & N Haveli,79.56,93.39,100.0,94.84166666666664,100.0,90.0,97.71799999999999,91.83030303030304,100.0,100.0,85.53,92.05,98.43,100.0,97.92166666666668,100.0,100.0,97.43,100.0,100.0,100.0,95.34,100.0,100.0,100.0,99.48166666666668,100.0,100.0,99.7525,100.0,100.0,100.0,100.0
9,Daman & Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.83030303030304,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.7525,100.0,100.0,100.0,100.0
10,Goa,82.78,96.55,100.0,88.89,100.0,96.6,96.82,91.83030303030304,100.0,100.0,87.07,86.83,90.91,100.0,100.0,100.0,98.77,99.07,99.55,99.115,98.75,90.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.57833333333332,100.0,100.0
11,Gujarat,95.57,98.5,100.0,99.32,100.0,99.59,98.65,91.83030303030304,100.0,100.0,97.77,97.09,98.96,100.0,99.85,100.0,99.85,93.86,98.71,99.86,99.29,98.63,99.86,99.88,100.0,100.0,100.0,100.0,100.0,99.59,100.0,99.72,99.87
12,Haryana,95.73,99.79,99.81,90.71,97.41,99.89,96.14,95.45,94.52,90.55428571428571,96.53,94.26,99.85,99.86,89.15,97.23,99.74,95.66,94.04799999999999,75.0,100.0,95.67,99.15,100.0,99.91,99.54,99.88,99.9,99.68,98.394,84.78,100.0,99.49
13,Himachal Pradesh,93.43,98.47,99.83,92.27,98.22,99.83,97.93,95.45,94.52,90.55428571428571,94.48,95.01,98.97,99.82,92.12,98.69,99.85,98.33,100.0,100.0,100.0,95.63,99.68,99.75,100.0,99.25,100.0,100.0,100.0,100.0,100.0,100.0,99.7
