,state_water,Primary_Only2013-14_water,Primary_with_U_Primary2013-14_water,Primary_with_U_Primary_Sec_HrSec2013-14_water,U_Primary_Only2013-14_water,U_Primary_With_Sec_HrSec2013-14_water,Primary_with_U_Primary_Sec2013-14_water,U_Primary_With_Sec2013-14_water,Sec_Only2013-14_water,Sec_with_HrSec.2013-14_water,HrSec_Only2013-14_water,All Schools2013-14_water,Primary_Only2014-15_water,Primary_with_U_Primary2014-15_water,Primary_with_U_Primary_Sec_HrSec2014-15_water,U_Primary_Only2014-15_water,U_Primary_With_Sec_HrSec2014-15_water,Primary_with_U_Primary_Sec2014-15_water,U_Primary_With_Sec2014-15_water,Sec_Only2014-15_water,Sec_with_HrSec.2014-15_water,HrSec_Only2014-15_water,All Schools2014-15_water,Primary_Only2015-16_water,Primary_with_U_Primary2015-16_water,Primary_with_U_Primary_Sec_HrSec2015-16_water,U_Primary_Only2015-16_water,U_Primary_With_Sec_HrSec2015-16_water,Primary_with_U_Primary_Sec2015-16_water,U_Primary_With_Sec2015-16_water,Sec_Only2015-16_water,Sec_with_HrSec.2015-16_water,HrSec_Only2015-16_water,All Schools2015-16_water
0,India,94.09,98.18,99.1,93.9,99.2,98.64,97.38,96.52,98.18,97.14,95.4,94.88,98.49,99.59,94.82,99.38,98.83,98.49,96.32,98.71,98.23,96.12,95.78,98.69,99.39,95.65,99.59,99.21,98.91,97.05,99.18,97.92,96.81
1,A & N Islands,98.17,98.68,100.0,96.5925,100.0,100.0,97.86,98.2875,100.0,98.17666666666666,98.69,99.55,98.77,100.0,100.0,100.0,100.0,98.1925,97.7,100.0,94.98666666666668,99.52,100.0,100.0,100.0,95.92,100.0,100.0,98.635,98.32666666666668,100.0,96.4375,100.0
2,Andhra Pradesh,86.89,94.53,99.66,90.91,87.26,98.84,96.02,97.5,100.0,97.52,90.35,91.85,96.07,100.0,100.0,90.0,99.56,97.48,100.0,100.0,98.37,93.74,93.89,97.02,100.0,100.0,91.95,99.66,98.13,100.0,100.0,98.53,95.37
3,Arunachal Pradesh,72.32,89.46,100.0,95.35,94.0,95.54,100.0,78.832,100.0,100.0,79.79,73.34,89.99,100.0,97.56,89.8,95.28,94.74,78.362,88.89,94.306,80.64,73.85,90.13,100.0,96.0,96.23,97.77,97.44,91.074,93.75,100.0,81.47
4,Assam,78.32,91.18,95.9,79.55,97.01,93.25,93.46,88.3,88.6,96.22,80.3,81.76,92.63,93.94,83.08,98.19,94.76,94.17,86.78,85.56,96.92,83.36,84.64,93.19,96.37,86.06,97.96,96.36,95.39,89.62,89.34,97.44,86.21
5,Bihar,87.75,98.04,94.31,99.28,95.0,98.1,98.42,96.96,96.42,97.92,92.53,87.54,98.34,98.39,99.25,97.73,99.07,98.01,98.02,98.27,96.81,92.74,90.31,98.81,98.72,99.32,98.91,99.56,99.19,98.13,98.85,93.72,94.43
6,Chandigarh,100.0,100.0,100.0,97.68571428571428,100.0,100.0,98.62571428571428,94.488,97.81571428571428,94.21666666666664,100.0,100.0,100.0,100.0,97.54857142857144,100.0,100.0,98.64285714285714,93.676,95.82142857142857,92.85714285714286,100.0,100.0,100.0,100.0,98.15142857142857,100.0,100.0,99.05285714285715,96.588,97.46428571428572,91.83714285714287,100.0
7,Chhattisgarh,95.51,98.32,99.9,94.82,97.05,99.55,96.61,86.71,95.75,86.96,95.47,96.95,98.55,99.8,96.95,98.88,99.24,97.48,89.87,97.03,100.0,97.03,99.03,98.91,99.82,99.47,100.0,99.81,100.0,91.69,98.62,100.0,99.06
8,D & N Haveli,100.0,100.0,100.0,100.0,100.0,100.0,99.12200000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.8175,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6775,100.0,100.0,100.0,100.0
9,Daman & Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.8175,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6775,100.0,100.0,100.0,100.0
10,Goa,99.61,100.0,100.0,100.0,100.0,100.0,99.55,99.964,99.89166666666668,100.0,98.61,99.6,100.0,100.0,100.0,100.0,97.11,98.62,99.934,99.90166666666666,100.0,99.23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89666666666666,100.0,100.0
11,Gujarat,99.97,99.99,100.0,99.85,100.0,100.0,100.0,99.92,100.0,99.85,99.97,99.74,99.94,100.0,100.0,100.0,100.0,98.67,99.72,100.0,99.87,99.88,99.97,99.94,100.0,100.0,100.0,100.0,100.0,99.94,100.0,99.87,99.95
12,Haryana,99.8,100.0,100.0,99.76,100.0,100.0,100.0,94.488,94.87,94.21666666666668,99.87,99.63,100.0,100.0,99.5,100.0,100.0,99.86,93.676,89.58,100.0,99.75,99.85,100.0,100.0,100.0,99.95,100.0,100.0,96.588,89.13,100.0,99.91
13,Himachal Pradesh,98.95,100.0,100.0,98.24,99.86,100.0,99.4,100.0,100.0,100.0,99.06,98.95,99.87,100.0,98.05,100.0,100.0,99.76,100.0,100.0,100.0,99.08,99.89,100.0,100.0,99.44,100.0,100.0,100.0,100.0,100.0,100.0,99.86
14,Jammu & Kashmir,86.04,92.42,98.8,94.85,97.14,97.48,97.99,94.12,98.69,66.67,89.95,87.17,92.94,99.8,94.03,98.96,98.33,97.54,96.77,97.88,50.0,90.82,89.68,93.78,99.59,94.74,96.84,98.07,96.86,97.06,98.33,50.0,92.35
15,Jharkhand,88.72,94.68,97.78,95.12,93.57,96.83,95.65,96.69,96.83,96.61,91.35,89.37,95.12,99.17,95.79,92.44,97.2,96.18,96.37,97.85,96.48,91.93,91.75,95.91,99.2,87.97,93.12,97.36,96.45,97.66,97.85,98.08,93.6
