,state_electricity,Primary_Only2013-14_electricity,Primary_with_U_Primary2013-14_electricity,Primary_with_U_Primary_Sec_HrSec2013-14_electricity,U_Primary_Only2013-14_electricity,U_Primary_With_Sec_HrSec2013-14_electricity,Primary_with_U_Primary_Sec2013-14_electricity,U_Primary_With_Sec2013-14_electricity,Sec_Only2013-14_electricity,Sec_with_HrSec.2013-14_electricity,HrSec_Only2013-14_electricity,All Schools2013-14_electricity,Primary_Only2014-15_electricity,Primary_with_U_Primary2014-15_electricity,Primary_with_U_Primary_Sec_HrSec2014-15_electricity,U_Primary_Only2014-15_electricity,U_Primary_With_Sec_HrSec2014-15_electricity,Primary_with_U_Primary_Sec2014-15_electricity,U_Primary_With_Sec2014-15_electricity,Sec_Only2014-15_electricity,Sec_with_HrSec.2014-15_electricity,HrSec_Only2014-15_electricity,All Schools2014-15_electricity,Primary_Only2015-16_electricity,Primary_with_U_Primary2015-16_electricity,Primary_with_U_Primary_Sec_HrSec2015-16_electricity,U_Primary_Only2015-16_electricity,U_Primary_With_Sec_HrSec2015-16_electricity,Primary_with_U_Primary_Sec2015-16_electricity,U_Primary_With_Sec2015-16_electricity,Sec_Only2015-16_electricity,Sec_with_HrSec.2015-16_electricity,HrSec_Only2015-16_electricity,All Schools2015-16_electricity
0,India,46.38,69.56,94.92,45.97,93.72,83.12,86.84,75.08,82.88,91.01,56.78,49.63,73.26,95.27,48.33,94.81,84.03,89.14,77.55,83.85,92.67,60.01,52.4,76.44,94.81,49.86,94.48,88.1,90.82,81.5,86.85,92.86,62.81
1,A & N Islands,82.42,96.05,100.0,27.34,100.0,100.0,59.8,62.5825,100.0,75.72,88.86,80.72,96.3,100.0,100.0,100.0,100.0,62.3675,52.99333333333334,100.0,77.82666666666667,88.89,82.11,97.62,100.0,46.1575,100.0,100.0,66.48500000000001,56.71,100.0,81.3975,90.1
2,Andhra Pradesh,87.66,93.57,99.32,100.0,67.48,96.19,96.15,97.5,100.0,91.27,90.34,91.08,94.7,100.0,100.0,86.11,97.6,97.11,93.55,83.33,93.21,92.76,91.65,95.62,100.0,100.0,90.23,97.09,97.58,91.3,100.0,95.8,93.5
3,Arunachal Pradesh,19.72,53.59,92.19,79.07,92.0,81.68,81.25,56.833999999999996,100.0,100.0,36.35,21.53,54.96,96.83,82.93,95.92,81.13,92.11,55.302,100.0,93.574,38.6,22.64,53.87,95.52,84.0,94.34,82.59,87.18,72.08800000000001,100.0,100.0,39.54
4,Assam,9.51,51.14,81.15,28.18,87.61,72.54,72.64,43.79,68.73,85.66,19.39,11.5,56.42,90.91,33.0,89.43,76.95,75.75,47.12,59.51,85.54,22.4,12.76,58.5,92.34,34.77,93.6,79.84,83.41,64.22,67.08,87.09,25.55
5,Bihar,4.12,13.04,53.96,16.19,72.5,23.08,29.64,30.6,39.32,60.83,9.96,13.76,36.32,51.49,34.96,81.82,37.29,33.07,34.88,47.95,64.86,25.22,22.28,53.42,62.69,47.6,84.78,56.86,41.46,41.06,64.66,68.58,37.78
6,Chandigarh,100.0,100.0,100.0,79.64,100.0,100.0,87.15285714285713,74.586,90.69857142857144,92.82833333333332,100.0,100.0,100.0,100.0,80.21857142857142,100.0,100.0,88.75142857142859,77.78399999999998,89.42428571428572,91.42857142857143,100.0,100.0,100.0,100.0,81.5,100.0,100.0,90.22,78.65799999999999,92.90714285714284,85.71428571428571,100.0
7,Chhattisgarh,49.75,84.67,98.22,62.85,86.5,93.68,65.82,47.25,84.33,43.48,57.28,60.51,88.83,98.92,72.18,89.93,96.02,75.38,55.21,86.54,47.62,66.88,66.51,90.56,99.35,76.94,89.82,95.74,81.69,65.58,93.13,80.0,72.66
8,D & N Haveli,93.92,100.0,100.0,100.0,100.0,100.0,95.52,100.0,100.0,100.0,96.79,97.16,100.0,100.0,100.0,100.0,100.0,95.9725,100.0,100.0,100.0,98.55,100.0,100.0,100.0,100.0,100.0,100.0,98.0225,100.0,100.0,100.0,100.0
9,Daman & Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.9725,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0225,100.0,100.0,100.0,100.0
