,state_g_toilet,Primary_Only2013-14_g_toilet,Primary_with_U_Primary2013-14_g_toilet,Primary_with_U_Primary_Sec_HrSec2013-14_g_toilet,U_Primary_Only2013-14_g_toilet,U_Primary_With_Sec_HrSec2013-14_g_toilet,Primary_with_U_Primary_Sec2013-14_g_toilet,U_Primary_With_Sec2013-14_g_toilet,Sec_Only2013-14_g_toilet,Sec_with_HrSec.2013-14_g_toilet,HrSec_Only2013-14_g_toilet,All Schools2013-14_g_toilet,Primary_Only2014-15_g_toilet,Primary_with_U_Primary2014-15_g_toilet,Primary_with_U_Primary_Sec_HrSec2014-15_g_toilet,U_Primary_Only2014-15_g_toilet,U_Primary_With_Sec_HrSec2014-15_g_toilet,Primary_with_U_Primary_Sec2014-15_g_toilet,U_Primary_With_Sec2014-15_g_toilet,Sec_Only2014-15_g_toilet,Sec_with_HrSec.2014-15_g_toilet,HrSec_Only2014-15_g_toilet,All Schools2014-15_g_toilet,Primary_Only2015-16_g_toilet,Primary_with_U_Primary2015-16_g_toilet,Primary_with_U_Primary_Sec_HrSec2015-16_g_toilet,U_Primary_Only2015-16_g_toilet,U_Primary_With_Sec_HrSec2015-16_g_toilet,Primary_with_U_Primary_Sec2015-16_g_toilet,U_Primary_With_Sec2015-16_g_toilet,Sec_Only2015-16_g_toilet,Sec_with_HrSec.2015-16_g_toilet,HrSec_Only2015-16_g_toilet,All Schools2015-16_g_toilet
0,India,88.68,95.98,98.81,91.39,98.25,97.33,94.4,99.06,98.36,76.14,91.23,91.21,96.92,99.48,91.39,99.23,98.19,96.61,90.26,94.05,90.94,93.08,96.95,99.03,99.72,96.32,99.6,99.31,98.82,95.18,98.31,96.22,97.52
1,A & N Islands,89.74,97.37,100.0,88.3475,100.0,100.0,87.97,96.46833333333332,100.0,90.89,93.44,100.0,100.0,100.0,100.0,100.0,100.0,89.6125,87.19999999999997,100.0,92.14,100.0,100.0,100.0,100.0,91.955,100.0,100.0,95.4925,93.52333333333333,100.0,94.3075,100.0
2,Andhra Pradesh,76.16,89.46,97.2,81.82,68.68,90.68,92.09,85.19,71.43,75.47,81.31,97.79,98.81,100.0,100.0,99.44,99.57,99.03,96.77,100.0,94.73,98.07,99.6,99.89,100.0,100.0,100.0,99.92,99.92,100.0,100.0,100.0,99.72
3,Arunachal Pradesh,67.77,88.88,100.0,100.0,98.0,97.52,100.0,96.46833333333332,95.72111111111113,90.89,76.9,94.92,99.74,100.0,100.0,100.0,100.0,100.0,81.85600000000002,100.0,88.68799999999999,96.89,94.41,99.59,100.0,100.0,100.0,99.55,97.44,87.458,100.0,100.0,96.56
4,Assam,77.02,82.2,91.8,64.47,85.81,87.1,79.33,96.46833333333332,95.72111111111113,90.89,75.28,77.97,82.94,93.94,62.79,88.34,89.88,78.06,59.73,71.79,72.31,74.86,86.39,85.78,95.14,72.66,94.79,91.58,90.06,78.04,82.97,82.95,83.94
5,Bihar,63.43,90.6,82.28,92.59,86.67,89.4,77.33,96.46833333333332,100.0,90.89,75.41,63.46,91.16,90.77,91.47,93.98,92.06,79.27,83.4,80.29,88.18,76.3,84.35,96.44,95.4,97.53,98.84,97.09,90.91,91.9,94.59,89.07,90.05
6,Chandigarh,100.0,100.0,100.0,95.20857142857143,100.0,100.0,99.00571428571428,96.36,97.26,90.89,100.0,100.0,100.0,100.0,95.18285714285715,100.0,100.0,99.00571428571428,93.77,94.44571428571429,98.28166666666664,100.0,100.0,100.0,100.0,99.22857142857143,100.0,100.0,99.71,96.956,97.05714285714285,98.71833333333332,100.0
7,Chhattisgarh,93.1,96.9,98.71,95.39,98.17,99.32,96.87,98.41,100.0,100.0,94.1,91.02,97.87,99.51,94.08,98.8,99.43,95.78,68.09,88.86,52.38,92.0,99.16,99.61,100.0,99.67,100.0,99.81,100.0,86.61,98.68,100.0,99.16
8,D & N Haveli,91.71,98.35,100.0,100.0,100.0,90.0,99.352,96.45848484848484,100.0,100.0,94.36,98.3,100.0,100.0,100.0,100.0,100.0,98.615,100.0,100.0,100.0,99.13,100.0,100.0,100.0,100.0,100.0,100.0,99.765,100.0,100.0,100.0,100.0
9,Daman & Diu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.45848484848484,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.615,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.765,100.0,100.0,100.0,100.0
