,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools,state,year
0,82.42,96.05,100.0,27.34,100.0,100.0,59.8,62.5825,100.0,75.72,88.86,Andaman & Nicobar Islands,2013-14
1,80.72,96.3,100.0,100.0,100.0,100.0,62.3675,52.99333333333334,100.0,77.82666666666667,88.89,Andaman & Nicobar Islands,2014-15
2,82.11,97.62,100.0,46.1575,100.0,100.0,66.48500000000001,56.71,100.0,81.3975,90.1,Andaman & Nicobar Islands,2015-16
3,87.66,93.57,99.32,100.0,67.48,96.19,96.15,97.5,100.0,91.27,90.34,Andhra Pradesh,2013-14
4,91.08,94.7,100.0,100.0,86.11,97.6,97.11,93.55,83.33,93.21,92.76,Andhra Pradesh,2014-15
5,91.65,95.62,100.0,100.0,90.23,97.09,97.58,91.3,100.0,95.8,93.5,Andhra Pradesh,2015-16
6,19.72,53.59,92.19,79.07,92.0,81.68,81.25,56.834,100.0,100.0,36.35,Arunachal Pradesh,2013-14
7,21.53,54.96,96.83,82.93,95.92,81.13,92.11,55.302,100.0,93.574,38.6,Arunachal Pradesh,2014-15
8,22.64,53.87,95.52,84.0,94.34,82.59,87.18,72.088,100.0,100.0,39.54,Arunachal Pradesh,2015-16
9,9.51,51.14,81.15,28.18,87.61,72.54,72.64,43.79,68.73,85.66,19.39,Assam,2013-14
10,11.5,56.42,90.91,33.0,89.43,76.95,75.75,47.12,59.51,85.54,22.4,Assam,2014-15
11,12.76,58.5,92.34,34.77,93.6,79.84,83.41,64.22,67.08,87.09,25.55,Assam,2015-16
12,4.12,13.04,53.96,16.19,72.5,23.08,29.64,30.6,39.32,60.83,9.96,Bihar,2013-14
13,13.76,36.32,51.49,34.96,81.82,37.29,33.07,34.88,47.95,64.86,25.22,Bihar,2014-15
