,state,GSDP - CONSTANT PRICES (` in Crore)2011-12,GSDP - CONSTANT PRICES (` in Crore)2012-13,GSDP - CONSTANT PRICES (` in Crore)2013-14,GSDP - CONSTANT PRICES (` in Crore)2014-15,GSDP - CONSTANT PRICES (` in Crore)2015-16,GSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,GSDP - CURRENT PRICES (` in Crore)2011-12,GSDP - CURRENT PRICES (` in Crore)2012-13,GSDP - CURRENT PRICES (` in Crore)2013-14,GSDP - CURRENT PRICES (` in Crore)2014-15,GSDP - CURRENT PRICES (` in Crore)2015-16,GSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,NSDP - CONSTANT PRICES (` in Crore)2011-12,NSDP - CONSTANT PRICES (` in Crore)2012-13,NSDP - CONSTANT PRICES (` in Crore)2013-14,NSDP - CONSTANT PRICES (` in Crore)2014-15,NSDP - CONSTANT PRICES (` in Crore)2015-16,NSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,NSDP - CURRENT PRICES (` in Crore)2011-12,NSDP - CURRENT PRICES (` in Crore)2012-13,NSDP - CURRENT PRICES (` in Crore)2013-14,NSDP - CURRENT PRICES (` in Crore)2014-15,NSDP - CURRENT PRICES (` in Crore)2015-16,NSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17
0,India,8736039.0,9215125.0,9817822.0,10522686.0,11357529.0,12165481.0,5.48,6.54,7.18,7.93,7.11,8736039.0,9946636.0,11236635.0,12433749.0,13675331.0,15251028.0,13.86,12.97,10.65,9.99,11.52,7818898.0,8205908.0,8718820.0,9337045.0,10080883.0,10803651.0,4.95,6.25,7.09,7.97,7.17,7818898.0,8886659.0,10041060.0,11108576.0,12242873.0,13653519.0,13.65,12.99,10.63,10.21,11.52
1,A & N Islands,3979.0,4156.0,4502.0,4839.0,275633.0,314364.0,4.45,8.32,7.5,8.43,7.94,3979.0,4421.0,5159.0,5721.0,332448.33333333326,378991.0,11.13,16.68,10.89,9.406666666666668,10.85,3404.0,3557.0,3824.0,4214.0,248504.66666666663,273914.0,4.5,7.52,10.2,8.83,8.14,3404.0,3793.0,4424.0,5025.0,301897.66666666674,334067.0,11.44,16.64,13.56,9.826666666666666,11.27
2,Andhra Pradesh,379402.0,380629.0,407115.0,441741.0,490134.0,547021.0,0.32,6.96,8.51,10.96,11.61,379402.0,411404.0,464272.0,526468.0,609934.0,699307.0,8.43,12.85,13.4,15.85,14.65,339996.0,341335.0,360239.0,391373.0,434433.0,484930.0,0.39,5.54,8.64,11.0,11.62,339996.0,370196.0,413164.0,469909.0,545638.0,620974.0,8.88,11.61,13.73,16.12,13.81
3,Arunachal Pradesh,11063.0,11299.0,12348.0,13541.0,13963.0,24005.0,2.14,9.29,9.66,3.12,6.65,11063.0,12547.0,14602.0,16761.0,18784.0,29567.0,13.41,16.38,14.79,12.07,10.55,10229.0,10399.0,11235.0,12323.0,12693.0,21275.0,1.65,8.05,9.68,3.0,6.68,10229.0,11617.0,13398.0,15410.0,17229.0,26505.0,13.57,15.32,15.02,11.8,10.73
4,Assam,143175.0,147342.0,154525.0,166709.0,179595.0,24005.0,2.91,4.88,7.88,5.346666666666667,6.65,143175.0,156864.0,177745.0,198098.0,224234.0,29567.0,9.56,13.31,11.45,13.19,10.55,129354.0,132518.0,138725.0,149313.0,160724.0,21275.0,2.45,4.68,7.63,5.286666666666666,6.68,129354.0,142039.0,160442.0,178479.0,201758.0,26505.0,9.81,12.96,11.24,10.24,10.73
5,Bihar,247144.0,256851.0,269650.0,304766.0,326535.0,314364.0,3.93,4.98,13.02,7.14,7.94,247144.0,282368.0,317101.0,373920.0,413503.0,378991.0,14.25,12.3,17.92,10.59,10.85,228497.0,236932.0,246915.0,279711.0,299814.0,273914.0,3.69,4.21,13.28,7.19,8.14,228497.0,261327.0,292143.0,345571.0,382223.0,334067.0,14.37,11.79,18.29,10.61,11.27
6,Chandigarh,18768.0,20265.0,21893.0,23920.0,26379.0,466412.5,7.98,8.04,9.26,10.28,8.26,18768.0,21609.0,24787.0,27844.0,30304.0,584890.5,15.14,14.71,12.33,8.84,12.79,16930.0,18285.0,19622.0,21456.0,23729.0,420629.0,8.01,7.31,9.35,10.59,8.09,16930.0,19507.0,22290.0,25061.0,27341.0,529872.5,15.23,14.26,12.43,9.1,12.88
7,Chhattisgarh,158074.0,165937.0,182229.0,196023.0,209012.0,223932.0,4.97,9.82,7.57,7.97,12.21,158074.0,177511.0,206690.0,234982.0,260776.0,290140.0,12.3,16.44,13.69,10.98,11.26,142273.0,148719.0,163187.0,175414.0,184693.0,198922.0,4.53,9.73,7.49,7.61,12.46,142273.0,159431.0,185939.0,211016.0,233023.0,256346.0,12.06,16.63,13.49,12.58,18.18
8,D & N Haveli,591851.25,632650.75,672575.0,715780.25,450917.0,280707.04166666674,1.59,1.9825,7.3275000000000015,6.555861111111112,7.390833333333332,591851.25,676271.25,760187.75,834994.0,519659.0,356540.25,8.66,7.6775,11.0225,10.92,10.203333333333337,521742.5,557055.5,591641.75,629450.5,397316.5,249080.25,1.7325000000000004,1.4825,7.4075,6.599527777777778,7.524583333333335,521742.5,596747.75,671726.25,738264.75,463375.5,318930.45833333326,9.045,7.3975,11.22,9.433277777777779,10.99125
9,Daman & Diu,591851.25,632650.75,672575.0,715780.25,450917.0,280707.04166666674,1.59,1.9825,7.3275000000000015,6.555861111111112,7.390833333333332,591851.25,676271.25,760187.75,834994.0,519659.0,356540.25,8.66,7.6775,11.0225,10.92,10.203333333333337,521742.5,557055.5,591641.75,629450.5,397316.5,249080.25,1.7325000000000004,1.4825,7.4075,6.599527777777778,7.524583333333335,521742.5,596747.75,671726.25,738264.75,463375.5,318930.45833333326,9.045,7.3975,11.22,9.433277777777779,10.99125
